name,college,number,id,draft_round,position,dob,draft_year,draft_pick
Nick Kwiatkoski,West Virginia,4,2581818,4,LB,"May 26, 1993",2016,113
John Timu,Washington,3,2578388,,LB,"Aug 27, 1992",,
Sherrick McManis,Northwestern,7,13419,5,CB,"Dec 19, 1987",2010,144
B.W. Webb,William & Mary,7,15939,4,CB,"May 3, 1990",2013,114
Kyle Fuller,Virginia Tech,3,16715,1,CB,"Feb 16, 1992",2014,14
C.J. Wilson,East Carolina,,13491,7,,"Mar 30, 1987",2010,230
Prince Amukamara,Nebraska,0,13975,1,CB,"Jun 6, 1989",2011,19
Akiem Hicks,University of Regina,6,14984,3,DE,"Nov 16, 1989",2012,89
Johnthan Banks,Mississippi State,,15824,2,,"Oct 3, 1989",2013,43
Jonathan Bullard,Florida,0,2980097,3,DE,"Oct 22, 1993",2016,72
Christian Jones,Florida State,2,17070,,LB,"Feb 18, 1991",,
Leonard Floyd,Georgia,4,3043136,1,LB,"Sep 8, 1992",2016,9
Jerrell Freeman,Mary Hardin-Baylor,,11533,,,"May 1, 1986",,
Dan Skuta,Grand Valley State,,12932,,,"Apr 21, 1986",,
Chris Prosinski,Wyoming,,14072,4,,"Apr 28, 1987",2011,121
Sam Acho,Texas,3,14152,4,LB,"Sep 6, 1988",2011,103
Patrick Scales,Utah State,8,14572,,LS,"Feb 11, 1988",,
John Jenkins,Georgia,2,15846,3,DT,"Jul 11, 1989",2013,82
Marcus Cooper Sr.,Rutgers,1,15888,7,CB,"Feb 1, 1990",2013,252
Kapron Lewis-Moore,Notre Dame,,15937,6,,"Jan 24, 1990",2013,200
Ka'Deem Carey,Arizona,,16942,4,,"Oct 30, 1992",2014,117
Michael Burton,Rutgers,6,2515270,5,FB,"Feb 1, 1992",2015,168
Bryce Callahan,Rice,7,2515641,,CB,"Oct 23, 1991",,
DeAndre Houston-Carson,William & Mary,,2566034,6,,"Apr 13, 1993",2016,185
Roy Robertson-Harris,UTEP,5,2574891,,DE,"Jul 23, 1993",,
Hendrick Ekpe,Minnesota,,3040186,,,"Jun 30, 1995",,
Isaiah Irving,San Jose State,7,3043197,,LB,"Jun 9, 1994",,
Eddie Jackson,Alabama,,3054847,4,,"Dec 10, 1992",2017,112
Alex Scearce,Coastal Carolina,,3066097,,,"Jun 3, 1994",,
Jonathan Anderson,TCU,2,2514468,,LB,"Oct 27, 1991",,
Deonte Thompson,Florida,5,15503,,WR,"Feb 14, 1989",,
Joshua Bellamy,Louisville,5,15555,,WR,"May 18, 1989",,
Benny Cunningham,Middle Tennessee,0,16055,,RB,"Jul 7, 1990",,
Rueben Randle,LSU,,14911,2,,"May 7, 1991",2012,63
Kendall Wright,Baylor,7,14909,1,WR,"Nov 12, 1989",2012,20
Tanner Gentry,Wyoming,9,3043841,,WR,"Dec 18, 1994",,
Victor Cruz,UMass,,13553,,,"Nov 11, 1986",,
Dion Sims,Michigan State,8,15974,4,TE,"Feb 18, 1991",2013,106
Ben Braunecker,Harvard,4,2969241,,TE,"Feb 7, 1994",,
Daniel Brown,James Madison,5,2519013,,TE,"May 26, 1992",,
Adam Shaheen,Ashland,7,4198676,2,TE,"Oct 24, 1994",2017,45
Zach Miller,Nebraska-Omaha,6,12699,6,TE,"Oct 4, 1984",2009,180
Cameron Meredith,Illinois State,1,2520698,,WR,"Sep 21, 1992",,
Connor Barth,North Carolina,,11737,,,"Apr 11, 1986",,
Tarik Cohen,North Carolina A&T,9,3066158,4,RB,"Jul 26, 1995",2017,119
Mitchell Trubisky,North Carolina,0,3039707,1,QB,"Aug 20, 1994",2017,2
Joshua Rounds,Tulane,2,2972140,,RB,"Oct 11, 1993",,
Jordan Howard,Indiana,4,3060022,5,RB,"Nov 2, 1994",2016,150
Mike Glennon,NC State,7,15837,3,QB,"Dec 12, 1989",2013,73
Cody Whitehair,Kansas State,,2577346,2,,"Jul 11, 1992",2016,56
Pat O'Donnell,Miami,,16863,6,,"Feb 22, 1991",2014,191
Mark Sanchez,USC,,12482,1,,"Nov 11, 1986",2009,5
Deon Bush,Miami,,2969944,4,,"Aug 14, 1993",2016,124
Cre'von LeBlanc,Florida Atlantic,2,2982870,,CB,"Jul 25, 1994",,
Eddie Goldman,Florida State,1,2969924,2,NT,"Jan 6, 1994",2015,39
Quintin Demps,UTEP,,11351,4,,"Jun 29, 1985",2008,117
MyCole Pruitt,Southern Illinois,5,2508256,5,TE,"Mar 24, 1992",2015,143
Adrian Amos,Penn State,,2582132,5,,"Apr 29, 1993",2015,142
Rashaad Coward,Old Dominion,9,3060134,,OT,"Nov 6, 1994",,
Jaye Howard,Florida,,15005,4,,"Dec 20, 1988",2012,114
Harold Jones-Quartey,Findlay,,3894939,,,"Aug 6, 1993",,
Lamarr Houston,Texas,,13277,2,,"Jun 24, 1987",2010,44
Willie Young,NC State,,13497,7,,"Sep 19, 1985",2010,213
Deiondre' Hall,Northern Iowa,2,2986767,4,CB,"May 31, 1994",2016,127
Freddie Stevenson,Florida State,,3045375,,,"Apr 12, 1995",,
Titus Davis,Central Michigan,,2574420,,,"Jan 3, 1993",,
Kevin White,West Virginia,1,3042435,1,WR,"Jun 25, 1992",2015,7
Roberto Aguayo,Florida State,4,2978887,2,PK,"May 17, 1994",2016,59
Connor Shaw,South Carolina,,17247,,,"Sep 19, 1991",,
Daniel Braverman,Western Michigan,3,2973052,7,WR,"Sep 28, 1993",2016,230
Taylor Boggs,Humboldt State,,14725,,,"Feb 20, 1987",,
Rashaad Reynolds,Oregon State,,17240,,,"Feb 2, 1991",,
Kelvin Sheppard,LSU,,13995,3,,"Jan 2, 1988",2011,68
Jeremy Langford,Michigan State,2,2515416,4,RB,"Dec 6, 1991",2015,106
Alton Howard,Tennessee,,3122122,,,"Mar 9, 1993",,
Danny Trevathan,Kentucky,9,15074,6,LB,"Mar 24, 1990",2012,188
Mitch Unrein,Wyoming,8,13860,,DT,"Mar 25, 1987",,
Pernell McPhee,Mississippi State,6,14202,5,LB,"Dec 17, 1988",2011,165
Charles Leno Jr.,Boise State,2,16848,7,OT,"Oct 9, 1991",2014,246
Markus Wheaton,Oregon State,0,15873,3,WR,"Feb 7, 1991",2013,79
Tre McBride,William & Mary,7,2566041,7,WR,"Dec 1, 1992",2015,245
Kyle Long,Oregon,,15801,1,,"Dec 5, 1988",2013,20
Dontrelle Inman,Virginia,,14269,,,"Jan 31, 1989",,
Hroniss Grasu,Oregon,,2516984,3,,"Aug 12, 1991",2015,71
Cairo Santos,Tulane,8,17427,,PK,"Nov 12, 1991",,
Howard Jones,Shepherd,,17009,,,"Feb 10, 1990",,
Mike Nugent,Ohio State,6,8461,2,PK,"Mar 2, 1982",2005,47
Andrew DePaola,Rutgers,8,15726,,LS,"Jul 28, 1987",,
P.J. Williams,Florida State,6,2977661,3,CB,"Jun 1, 1993",2015,78
Rafael Bush,South Carolina State,,13544,,,"May 12, 1987",,
David Onyemata,Manitoba,3,4002046,4,DT,"Nov 13, 1992",2016,120
Stephone Anthony,Clemson,4,2576482,1,LB,"Jul 28, 1992",2015,31
Ken Crawley,Colorado,0,2979612,,CB,"Feb 8, 1993",,
Alex Anzalone,Florida,7,3043107,3,LB,"Sep 22, 1994",2017,76
Sterling Moore,SMU,4,14802,,CB,"Feb 3, 1990",,
Chris Banjo,SMU,,15782,,,"Feb 26, 1990",,
Kenny Vaccaro,Texas,,15813,1,,"Feb 15, 1991",2013,15
Erik Harris,California (PA),,4010714,,,"Apr 2, 1990",,
Mitchell Loewen,Arkansas,0,2578754,,DE,"Feb 14, 1993",,
Manti Te'o,Notre Dame,1,15867,2,LB,"Jan 26, 1991",2013,38
Obum Gwacham,Oregon State,7,2468550,6,LB,"Mar 20, 1991",2015,209
Marcus Williams,Utah,,3122882,2,,"Sep 8, 1996",2017,42
Nate Stupar,Penn State,4,15040,7,LB,"Mar 14, 1988",2012,230
Vonn Bell,Ohio State,,3051388,2,,"Dec 12, 1994",2016,61
Al-Quadin Muhammad,Miami,7,3051942,6,DE,"Mar 28, 1995",2017,196
Alex Jenkins,Incarnate Word,9,3049426,,DE,"Jan 15, 1993",,
Michael Mauti,Penn State,,15903,7,,"Jan 19, 1990",2013,213
Adam Bighill,Central Washington,9,2323439,,LB,"Oct 16, 1988",,
Damian Swann,Georgia,,2578561,5,,"Dec 4, 1992",2015,167
Sheldon Rankins,Louisville,8,2970204,1,DT,"Apr 2, 1994",2016,12
De'Vante Harris,Texas A&M,5,2972273,,CB,"Jun 30, 1993",,
Garrett Griffin,Air Force,5,2987440,,TE,"Mar 4, 1994",,
Robenson Therezie,Auburn,,2574553,,,"Aug 5, 1991",,
Taveze Calhoun,Mississippi State,0,2577421,,CB,"Dec 26, 1992",,
Tommylee Lewis,Northern Illinois,1,2574918,,WR,"Oct 24, 1992",,
Jake Lampman,Ferris State,9,3057850,,WR,"Jun 11, 1993",,
Brandon Coleman,Rutgers,,17127,,,"Jun 22, 1992",,
Clay Harbor,Missouri State,,13376,4,,"Jul 2, 1987",2010,125
Michael Thomas,Ohio State,3,2976316,2,WR,"Mar 3, 1993",2016,47
Travaris Cadet,Appalachian State,9,15457,,RB,"Feb 1, 1989",,
Michael Hoomanawanui,Illinois,4,13387,5,TE,"Jul 4, 1988",2010,132
Darius Victor,Towson,8,3049987,,RB,"Mar 18, 1994",,
Daniel Lasco,California,6,2576873,7,RB,"Oct 9, 1992",2016,237
Josh Hill,Idaho State,9,16143,,TE,"May 21, 1990",,
Ted Ginn Jr.,Ohio State,9,10453,1,WR,"Apr 12, 1985",2007,9
Rashad Lawrence,Northwestern,,17349,,,"Jun 10, 1992",,
Travin Dural,LSU,4,2976557,,WR,"Nov 19, 1993",,
Wil Lutz,Georgia State,3,2985659,,PK,"Jul 7, 1994",,
Alvin Kamara,Tennessee,1,3054850,3,RB,"Jul 25, 1995",2017,67
Trey Edmunds,Maryland,3,2970090,,RB,"Dec 30, 1994",,
Ryan Nassib,Syracuse,,15891,4,,"Mar 10, 1990",2013,110
Garrett Grayson,Colorado State,9,2575660,3,QB,"May 29, 1991",2015,75
Thomas Morstead,SMU,,12701,5,,"Mar 8, 1986",2009,164
Chase Daniel,Missouri,4,12471,,QB,"Oct 7, 1986",,
A.J. Klein,Iowa State,3,15964,5,LB,"Jul 30, 1991",2013,148
Craig Robertson,North Texas,2,14860,,LB,"Feb 11, 1988",,
Tony McDaniel,Tennessee,6,10031,,DT,"Jan 20, 1985",,
Malik Foreman,Tennessee,,3044723,,,"Jun 30, 1995",,
Darryl Tapp,Virginia Tech,,9649,2,,"Sep 13, 1984",2006,63
Tyeler Davison,Fresno State,5,2517230,5,DT,"Sep 3, 1992",2015,154
Alex Okafor,Texas,7,15976,4,DE,"Feb 8, 1991",2013,103
John Hughes III,Cincinnati,,14954,3,,"Apr 27, 1988",2012,87
Hau'oli Kikaha,Washington,4,2509488,2,DE,"Jul 24, 1992",2015,44
Jason Jones,Eastern Michigan,,11288,2,,"May 23, 1986",2008,54
John Phillips,Virginia,6,12550,6,TE,"Jun 11, 1987",2009,208
Ashaad Mabry,UT San Antonio,,2580065,,,"Nov 4, 1992",,
Corey Fuller,Virginia Tech,,16014,6,,"Jun 23, 1990",2013,171
Willie Snead,Ball State,3,17258,,WR,"Oct 17, 1992",,
Coby Fleener,Stanford,,14900,2,,"Sep 20, 1988",2012,34
John Robinson-Woodgett,UMass,,2982839,,,"Aug 1, 1993",,
Cameron Jordan,California,4,13971,1,DE,"Jul 10, 1989",2011,24
Bryan Braman,West Texas A&M,,14524,,,"May 4, 1987",,
Marshon Lattimore,Ohio State,3,3121421,1,CB,"May 20, 1996",2017,11
Zach Line,SMU,2,16366,,FB,"Apr 26, 1990",,
Trey Hendrickson,Florida Atlantic,1,3052743,3,DE,"Dec 5, 1994",2017,103
Mark Ingram II,Alabama,2,13981,1,RB,"Dec 21, 1989",2011,28
Adrian Peterson,Oklahoma,3,10452,1,RB,"Mar 21, 1985",2007,7
Drew Brees,Purdue,9,2580,2,QB,"Jan 15, 1979",2001,32
Arthur Maulet,Memphis,7,3916144,,CB,"Jul 13, 1993",,
Jonathan Walton,South Carolina,,3048922,,,"Sep 20, 1994",,
Justin Zimmer,Ferris State,2,3057899,,DT,"Oct 23, 1992",,
Braedon Bowman,South Alabama,3,3125253,,TE,"Jan 30, 1994",,
De'Quan Hampton,USC,,3912558,,,"Apr 18, 1994",,
John Kuhn,Shippensburg,9,9530,,FB,"Sep 9, 1982",,
David Parry,Stanford,0,2517779,5,NT,"Mar 7, 1992",2015,151
Justin Hardee,Illinois,4,2970625,,CB,"Feb 7, 1994",,
Max Unger,Oregon,,12624,2,,"Apr 14, 1986",2009,49
Terron Armstead,Arkansas-Pine Bluff,2,15821,3,OT,"Jul 23, 1991",2013,75
Gerald Hodges,Penn State,1,15977,4,LB,"Jan 17, 1991",2013,120
Dexter McDougle,Maryland,3,16805,3,CB,"Apr 8, 1991",2014,80
Taysom Hill,BYU,7,2468609,,QB,"Aug 23, 1990",,
George Johnson,Rutgers,0,13812,,DE,"Dec 11, 1987",,
Ryan Ramczyk,Wisconsin,1,3917676,1,OT,"Apr 22, 1994",2017,32
Jonathan Freeny,Rutgers,5,14387,,LB,"Jun 15, 1989",,
Kenneth Olugbode,Colorado,,3052120,,,"Sep 19, 1995",,
Kai Nacua,BYU,,3053804,,,"Mar 3, 1995",,
Trevon Coley,Florida Atlantic,3,2982880,,DT,"Jul 13, 1994",,
Briean Boddy-Calhoun,Minnesota,,2970694,,,"Jan 21, 1993",,
Jamie Collins Sr.,Southern Mississippi,1,15830,2,LB,"Oct 20, 1989",2013,52
Justin Currie,Western Michigan,2,2574756,,LB,"Sep 19, 1993",,
Derrick Kindred,TCU,,2971550,4,,"Dec 15, 1993",2016,129
Trey Caldwell,UL Monroe,9,2972550,5,CB,"Dec 4, 1993",2016,173
Deon King,Norfolk State,8,2978411,,LB,"Jul 2, 1993",,
Tyrone Holmes,Montana,4,2982949,6,LB,"Sep 10, 1993",2016,181
Christian Kirksey,Iowa,8,16767,3,LB,"Aug 31, 1992",2014,71
Karter Schult,Northern Iowa,,2986781,,,"Dec 21, 1993",,
Joe Schobert,Wisconsin,3,2977819,4,LB,"Nov 6, 1993",2016,99
Charley Hughlett,UCF,7,15379,,LS,"May 16, 1990",,
Darius Hillary,Wisconsin,8,2576437,,CB,"Apr 5, 1993",,
Joe Haden,Florida,3,13249,1,CB,"Apr 14, 1989",2010,7
Dominique Alexander,Oklahoma,4,3052651,,LB,"Apr 20, 1995",,
Nate Orchard,Utah,4,3052511,2,DE,"Jan 5, 1993",2015,51
Ladell Fleming,Northern Illinois,,2972940,,,"Feb 1, 1994",,
Tank Carder,TCU,,15014,5,,"Jan 18, 1989",2012,147
Xavier Cooper,Washington State,5,2578408,3,DT,"Nov 30, 1991",2015,96
B.J. Bello,Illinois State,6,2970622,,LB,"Oct 31, 1994",,
Najee Murray,Kent State,,2976302,,,"Apr 21, 1994",,
Myles Garrett,Texas A&M,5,3122132,1,DE,"Dec 29, 1995",2017,1
Jason McCourty,Rutgers,0,12691,6,CB,"Aug 13, 1987",2009,203
Calvin Pryor III,Louisville,,16729,1,,"Jul 2, 1992",2014,18
Jamie Meder,Ashland,8,17214,,DE,"Apr 12, 1991",,
James Burgess Jr.,Louisville,2,2970181,,LB,"Mar 9, 1994",,
J.D. Harmon,Kentucky,,2980419,,,"Jan 18, 1994",,
Larry Ogunjobi,Charlotte,5,3050122,3,DT,"Jun 3, 1994",2017,65
Carl Nassib,Penn State,4,2614825,3,DE,"Apr 12, 1993",2016,65
Richard Mullaney,Alabama,,2577014,,,"Feb 23, 1993",,
Jordan Payton,UCLA,,2971588,5,,"Sep 1, 1993",2016,154
Josh Boyce,TCU,,15998,4,,"May 6, 1991",2013,102
Rannell Hall,UCF,,2581464,,,"Jan 30, 1993",,
Randall Telfer,USC,6,2510611,6,TE,"May 16, 1992",2015,198
Seth DeValve,Princeton,7,2566659,4,TE,"Jan 29, 1993",2016,138
Corey Coleman,Baylor,9,2978929,1,WR,"Jul 6, 1994",2016,15
Ricardo Louis,Auburn,5,2971023,4,WR,"Mar 23, 1994",2016,114
Isaiah Crowell,Alabama State,0,17133,,RB,"Jan 8, 1993",,
Duke Johnson Jr.,Miami,9,2969962,3,RB,"Sep 23, 1993",2015,77
Jordan Leslie,BYU,9,2511952,,WR,"Oct 31, 1991",,
Matthew Dayes,NC State,7,3051711,7,RB,"Sep 3, 1994",2017,252
Kenny Britt,Rutgers,8,12556,1,WR,"Sep 19, 1988",2009,30
Terrence Magee,LSU,1,2577283,,RB,"Mar 16, 1993",,
Mario Alford,West Virginia,,3052686,7,,"Feb 25, 1992",2015,238
Zane Gonzalez,Arizona State,2,3043234,7,PK,"May 7, 1995",2017,224
DeShone Kizer,Notre Dame,9,3129302,2,QB,"Jan 3, 1996",2017,52
Brock Osweiler,Arizona State,8,14879,2,QB,"Nov 22, 1990",2012,57
Cody Kessler,USC,6,2577243,3,QB,"May 11, 1993",2016,93
Brandon Wilds,South Carolina,8,2577692,,RB,"Jul 22, 1993",,
Zach Sterup,Nebraska,4,2576365,,OT,"May 14, 1992",,
Britton Colquitt,Tennessee,,12773,,,"Mar 20, 1985",,
Desmond Bryant,Harvard,,12949,,,"Dec 15, 1985",,
Jabrill Peppers,Michigan,,3115962,1,,"Oct 4, 1995",2017,25
Jamar Taylor,Boise State,8,15866,2,CB,"Sep 29, 1990",2013,54
JC Tretter,Cornell,,16001,4,,"Feb 12, 1991",2013,122
Anthony Fabiano,Harvard,,2566591,,,"Jul 13, 1993",,
Alvin Hill,Maryland,,2976220,,,"Jan 28, 1994",,
Channing Stribling,Michigan,2,3045202,,CB,"Nov 21, 1994",,
Emmanuel Ogbah,Oklahoma State,0,2977740,2,DE,"Nov 6, 1993",2016,32
Danny Vitale,Northwestern,0,2974365,6,FB,"Oct 26, 1993",2016,197
Rashard Higgins,Colorado State,1,3042910,5,WR,"Oct 7, 1994",2016,172
J.P. Holtz,Pittsburgh,8,2970262,,TE,"Aug 28, 1993",,
David Njoku,Miami,5,3123076,1,TE,"Jul 10, 1996",2017,29
Cody Parkey,Auburn,1,17082,,PK,"Feb 19, 1992",,
Kevin Hogan,Stanford,8,2577128,5,QB,"Oct 20, 1992",2016,162
Marcus Burley,Delaware,,16131,,,"Jul 16, 1990",,
Brandon Thompson,Clemson,,14965,3,,"Oct 19, 1989",2012,93
Ibraheim Campbell,Northwestern,,2511090,4,,"May 13, 1992",2015,115
Christian Bryant,Ohio State,,16908,7,,"Mar 21, 1992",2014,241
Caleb Brantley,Florida,9,3054950,6,DT,"Sep 2, 1994",2017,185
Rasheed Bailey,Delaware Valley,6,3892271,,WR,"Jul 29, 1993",,
Spencer Drango,Baylor,,2577042,5,,"Oct 15, 1992",2016,168
Joel Bitonio,Nevada,,16740,2,,"Oct 11, 1991",2014,35
Danny Shelton,Washington,1,2578384,1,DT,"Aug 20, 1993",2015,12
Kasen Williams,Washington,6,2578394,,WR,"Dec 5, 1992",,
Shon Coleman,Auburn,2,2574573,3,OT,"Nov 25, 1991",2016,76
Sammie Coates Jr.,Auburn,8,2574549,3,WR,"Mar 31, 1993",2015,87
Kevin Zeitler,Wisconsin,,14931,1,,"Mar 8, 1990",2012,27
Mike Jordan,Missouri Western,1,3961462,,CB,"Oct 21, 1992",,
Bryce Treggs,California,6,2978219,,WR,"Apr 30, 1994",,
T.Y. McGill,NC State,9,2577757,,DT,"Nov 23, 1992",,
Derron Smith,Fresno State,,2517248,6,,"Feb 4, 1992",2015,197
Josh Keyes,Boston ,9,2576461,,LB,"Jan 23, 1993",,
Josh Gordon,Utah,2,15705,,WR,"Apr 13, 1991",,
C.J. Smith,North Dakota State,8,2573091,,CB,"May 10, 1993",,
Lavar Edwards,LSU,,15909,5,,"Apr 29, 1990",2013,142
Marquez Williams,Miami,,2985288,7,,"Jul 16, 1994",2017,240
Tre Sullivan,Shepherd,,3957450,,,"Dec 21, 1994",,
Aaron Grymes,Idaho,,2474999,,,"Mar 1, 1991",,
Derek Barnett,Tennessee,6,3115336,1,DE,"Jun 25, 1996",2017,14
Najee Goode,West Virginia,2,15068,5,LB,"Jun 4, 1989",2012,140
Jalen Mills,LSU,1,2976540,7,CB,"Apr 6, 1994",2016,233
Don Cherry,Villanova,,2982305,,,"Sep 27, 1994",,
Nathan Gerry,Nebraska,7,3040475,5,LB,"Feb 23, 1995",2017,184
Elijah Qualls,Washington,8,3052175,6,DT,"Feb 11, 1995",2017,214
Mitchell White,Michigan State,,16541,,,"Mar 30, 1990",,
Alex McCalister,Florida,,2980111,7,,"Oct 17, 1993",2016,240
Patrick Robinson,Florida State,1,13238,1,CB,"Sep 7, 1987",2010,32
Mychal Kendricks,California,4,14978,2,LB,"Sep 28, 1990",2012,46
Terrence Brooks,Florida State,,16768,3,,"Mar 2, 1992",2014,79
Jomal Wiltz,Iowa State,2,3892777,,CB,"Oct 23, 1994",,
Kamu Grugier-Hill,Eastern Illinois,4,3050851,6,LB,"May 16, 1994",2016,208
Gabe Wright,Auburn,8,2574579,4,DT,"Apr 3, 1992",2015,113
Chris Long,Virginia,6,11236,1,DE,"Mar 28, 1985",2008,2
Brandon Graham,Michigan,5,13239,1,DE,"Apr 3, 1988",2010,13
Fletcher Cox,Mississippi State,1,14941,1,DT,"Dec 13, 1990",2012,12
Matt McGloin,Penn State,5,16593,,QB,"Dec 2, 1989",,
Tay Glover-Wright,Utah State,,17158,,,"Jun 28, 1992",,
C.J. Smith,North Dakota State,8,2573091,,CB,"May 10, 1993",,
Justin Hamilton,Louisiana,4,2574009,,DT,"Jul 27, 1993",,
Darrell Greene,San Diego State,,2582006,,,"Oct 29, 1992",,
Steven Daniels,Boston ,,2969870,7,,"Dec 12, 1992",2016,232
Nelson Agholor,USC,3,2971618,1,WR,"May 24, 1993",2015,20
Destiny Vaeao,Washington State,7,2978355,,DT,"Jan 15, 1994",,
Greg Ward Jr.,Houston,9,3040035,,WR,"Jul 12, 1995",,
Shelton Gibson,West Virginia,8,3042417,5,WR,"Mar 20, 1994",2017,166
Joe Walker,Oregon,9,3043184,7,LB,"Dec 11, 1992",2016,251
Ron Brooks,LSU,,15008,4,,"Oct 16, 1988",2012,124
Steven Means,Buffalo,1,15936,5,DE,"Sep 16, 1990",2013,147
Rasul Douglas,West Virginia,2,3943270,3,CB,"Aug 29, 1994",2017,99
Bryce Treggs,California,6,2978219,,WR,"Apr 30, 1994",,
Mack Hollins,North Carolina,0,2991662,4,WR,"Sep 16, 1993",2017,118
Corey Clement,Wisconsin,0,3045260,,RB,"Nov 2, 1994",,
Trey Burton,Florida,0,16974,,TE,"Oct 29, 1991",,
Jordan Matthews,Vanderbilt,,16763,2,,"Jul 16, 1992",2014,42
David Watford,Hampton,,2577807,,,"Jun 16, 1993",,
Billy Brown,Shepherd,5,3957543,,TE,"Mar 20, 1993",,
Donnel Pumphrey,San Diego State,4,3047519,4,RB,"Dec 6, 1994",2017,132
Caleb Sturgis,Florida,6,15918,5,PK,"Aug 9, 1989",2013,166
Dane Evans,Tulsa,,2972420,,,"Nov 19, 1993",,
LeGarrette Blount,Oregon,9,13213,,RB,"Dec 5, 1986",,
Byron Marshall,Oregon,4,2971289,,RB,"Feb 13, 1994",,
Donnie Jones,LSU,,5749,7,,"Jul 5, 1980",2004,224
Cameron Johnston,Ohio State,,3051397,,,"Feb 24, 1992",,
Carson Wentz,North Dakota State,1,2573079,1,QB,"Dec 30, 1992",2016,2
Corey Graham,New Hampshire,,10611,5,,"Jul 25, 1985",2007,168
Malcolm Jenkins,Ohio State,,12426,1,,"Dec 20, 1987",2009,14
Nigel Bradham,Florida State,3,15075,4,LB,"Sep 4, 1989",2012,105
Tim Jernigan,Florida State,3,16785,2,DT,"Sep 24, 1992",2014,48
Jaylen Watkins,Florida,,16919,4,,"Nov 27, 1991",2014,101
Jordan Hicks,Texas,8,2514270,3,LB,"Jun 27, 1992",2015,84
Ronald Darby,Florida State,1,2969920,2,CB,"Jan 2, 1994",2015,50
Brent Celek,Cincinnati,,10605,5,,"Jan 25, 1985",2007,162
Isaac Seumalo,Oregon State,,2978247,3,,"Oct 29, 1993",2016,79
Rodney McLeod,Virginia,,15222,,,"Jun 23, 1990",,
Marcus Johnson,Texas,4,2971718,,WR,"Aug 5, 1994",,
Alshon Jeffery,South Carolina,7,14912,2,WR,"Feb 14, 1990",2012,45
Zach Ertz,Stanford,6,15835,2,TE,"Nov 10, 1990",2013,35
Adam Zaruba,Simon Fraser,,4242607,,,"Mar 31, 1991",,
Vinny Curry,Marshall,7,14959,2,DE,"Jun 30, 1988",2012,59
Chris Maragos,Wisconsin,,13697,,,"Jan 6, 1987",,
Winston Craig,Richmond,4,3049895,,DT,"Jul 25, 1995",,
Torrey Smith,Maryland,1,14032,2,WR,"Jan 26, 1989",2011,58
Anthony Denham,Utah,,17392,,,"Jul 21, 1991",,
Wendell Smallwood,West Virginia,8,3042429,5,RB,"Jan 20, 1994",2016,153
Rashard Davis,James Madison,9,3049329,,WR,"Sep 14, 1995",,
Jake Metz,Shippensburg,,3089089,,,"Mar 16, 1991",,
Dexter McDougle,Maryland,3,16805,3,CB,"Apr 8, 1991",2014,80
Beau Allen,Wisconsin,1,16912,7,DT,"Nov 14, 1991",2014,224
Dallas Thomas,Tennessee,,15868,3,,"Oct 30, 1989",2013,77
Carlos Fields,Winston-Salem,,17389,,,"Oct 3, 1990",,
Christian Tago,San Jose State,,2981213,,,"Jan 15, 1994",,
Darren Sproles,Kansas State,3,8544,4,RB,"Jun 20, 1983",2005,130
Brandon Brooks,Miami (OH),,14962,3,,"Aug 19, 1989",2012,76
Jake Elliott,Memphis,4,3050478,5,PK,"Jan 21, 1995",2017,153
Trae Elston,Ole Miss,,2980380,,,"Feb 16, 1994",,
Kenjon Barner,Oregon,8,15921,6,RB,"Apr 28, 1990",2013,182
Rick Lovato,Old Dominion,5,2565971,,LS,"Sep 9, 1992",,
Halapoulivaati Vaitai,TCU,2,2971557,5,OT,"Jun 16, 1993",2016,164
Nick Foles,Arizona,9,14877,3,QB,"Jan 20, 1989",2012,88
Jay Ajayi,Boise State,6,2573300,5,RB,"Jun 15, 1993",2015,149
Dannell Ellerbe,Georgia,,13103,,,"Nov 29, 1985",,
Sidney Jones,Washington,2,3127299,2,CB,"May 21, 1996",2017,43
Nate Sudfeld,Indiana,7,2979501,6,QB,"Oct 7, 1993",2016,187
Marwin Evans,Utah State,,3053027,,,"Apr 10, 1993",,
Josh Hawkins,East Carolina,8,2575523,,CB,"Jan 23, 1993",,
Kevin King,Washington,0,3052170,2,CB,"May 5, 1995",2017,33
Josh Jones,NC State,,3051716,2,,"Sep 20, 1994",2017,61
Jordan Tripp,Montana,,16862,5,,"Apr 3, 1991",2014,171
Joe Thomas,South Carolina State,8,17266,,LB,"May 6, 1991",,
Lenzy Pipkins,Oklahoma State,1,2972562,,CB,"Nov 7, 1993",,
Blake Martinez,Stanford,0,2978273,4,LB,"Jan 9, 1994",2016,131
Daquan Holmes,American International,,3145559,,,"Oct 30, 1994",,
Ricky Jean Francois,LSU,7,12443,7,DT,"Nov 23, 1986",2009,244
Morgan Burnett,Georgia Tech,,13264,3,,"Jan 13, 1989",2010,71
Jayrone Elliott,Toledo,5,16991,,LB,"Nov 11, 1991",,
Kentrell Brice,Louisiana Tech,,2971881,,,"Aug 11, 1994",,
Quinten Rollins,Miami (OH),4,3125961,2,CB,"Jul 15, 1992",2015,62
Nick Perry,USC,3,14929,1,LB,"Apr 12, 1990",2012,28
Clay Matthews,USC,2,12438,1,LB,"May 14, 1986",2009,26
LaDarius Gunter,Miami,3,2969954,,CB,"May 13, 1992",,
Donatello Brown,Valdosta State,4,4218143,,CB,"May 15, 1991",,
